2013-05-11 00:19:00,502|INFO   |      dynamo.py|168|A, 174: put K574=I am pig574
2013-05-11 00:19:00,503|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29002: PutReq(K574=I am pig574)
2013-05-11 00:19:00,504|INFO   |      dynamo.py|228|A: store K574=I am pig574
2013-05-11 00:19:00,505|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29002: PutRsp(K574=I am pig574)
2013-05-11 00:19:00,506|INFO   |      dynamo.py|248|A: written 1 copies of K574=I am pig574 so done
2013-05-11 00:19:00,507|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29008: ClientPutRsp(K574=I am pig574)
2013-05-11 00:19:00,512|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29001: PutReq(K574=I am pig574)
2013-05-11 00:19:00,533|INFO   |      dynamo.py|228|A: store K575=I am pig575
2013-05-11 00:19:00,533|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29001: PutRsp(K575=I am pig575)
2013-05-11 00:19:00,552|INFO   |      dynamo.py|228|A: store K576=I am pig576
2013-05-11 00:19:00,553|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29003: PutRsp(K576=I am pig576)
2013-05-11 00:19:00,588|INFO   |      dynamo.py|228|A: store K578=I am pig578
2013-05-11 00:19:00,589|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29003: PutRsp(K578=I am pig578)
2013-05-11 00:19:00,607|INFO   |      dynamo.py|228|A: store K579=I am pig579
2013-05-11 00:19:00,607|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29003: PutRsp(K579=I am pig579)
2013-05-11 00:19:00,623|INFO   |      dynamo.py|228|A: store K580=I am pig580
2013-05-11 00:19:00,624|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29001: PutRsp(K580=I am pig580)
2013-05-11 00:19:00,630|INFO   |      dynamo.py|168|A, 175: put K581=I am pig581
2013-05-11 00:19:00,631|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29002: PutReq(K581=I am pig581)
2013-05-11 00:19:00,632|INFO   |      dynamo.py|228|A: store K581=I am pig581
2013-05-11 00:19:00,632|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29002: PutRsp(K581=I am pig581)
2013-05-11 00:19:00,635|INFO   |      dynamo.py|248|A: written 1 copies of K581=I am pig581 so done
2013-05-11 00:19:00,635|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29008: ClientPutRsp(K581=I am pig581)
2013-05-11 00:19:00,639|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29004: PutReq(K581=I am pig581)
2013-05-11 00:19:00,660|INFO   |      dynamo.py|228|A: store K582=I am pig582
2013-05-11 00:19:00,660|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29004: PutRsp(K582=I am pig582)
2013-05-11 00:19:00,697|INFO   |      dynamo.py|228|A: store K584=I am pig584
2013-05-11 00:19:00,698|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29003: PutRsp(K584=I am pig584)
2013-05-11 00:19:00,716|INFO   |      dynamo.py|228|A: store K585=I am pig585
2013-05-11 00:19:00,716|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29001: PutRsp(K585=I am pig585)
2013-05-11 00:19:00,751|INFO   |      dynamo.py|228|A: store K587=I am pig587
2013-05-11 00:19:00,751|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29001: PutRsp(K587=I am pig587)
2013-05-11 00:19:00,760|INFO   |      dynamo.py|168|A, 176: put K588=I am pig588
2013-05-11 00:19:00,760|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29002: PutReq(K588=I am pig588)
2013-05-11 00:19:00,763|INFO   |      dynamo.py|228|A: store K588=I am pig588
2013-05-11 00:19:00,763|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29002: PutRsp(K588=I am pig588)
2013-05-11 00:19:00,765|INFO   |      dynamo.py|248|A: written 1 copies of K588=I am pig588 so done
2013-05-11 00:19:00,765|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29008: ClientPutRsp(K588=I am pig588)
2013-05-11 00:19:00,770|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29004: PutReq(K588=I am pig588)
2013-05-11 00:19:00,817|INFO   |      dynamo.py|168|A, 177: put K591=I am pig591
2013-05-11 00:19:00,817|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29002: PutReq(K591=I am pig591)
2013-05-11 00:19:00,819|INFO   |      dynamo.py|228|A: store K591=I am pig591
2013-05-11 00:19:00,819|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29002: PutRsp(K591=I am pig591)
2013-05-11 00:19:00,821|INFO   |      dynamo.py|248|A: written 1 copies of K591=I am pig591 so done
2013-05-11 00:19:00,821|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29008: ClientPutRsp(K591=I am pig591)
2013-05-11 00:19:00,826|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29004: PutReq(K591=I am pig591)
2013-05-11 00:19:00,836|INFO   |      dynamo.py|228|A: store K592=I am pig592
2013-05-11 00:19:00,836|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29004: PutRsp(K592=I am pig592)
2013-05-11 00:19:00,849|INFO   |      dynamo.py|168|A, 178: put K593=I am pig593
2013-05-11 00:19:00,849|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29002: PutReq(K593=I am pig593)
2013-05-11 00:19:00,851|INFO   |      dynamo.py|228|A: store K593=I am pig593
2013-05-11 00:19:00,851|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29002: PutRsp(K593=I am pig593)
2013-05-11 00:19:00,853|INFO   |      dynamo.py|248|A: written 1 copies of K593=I am pig593 so done
2013-05-11 00:19:00,853|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29008: ClientPutRsp(K593=I am pig593)
2013-05-11 00:19:00,857|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29001: PutReq(K593=I am pig593)
2013-05-11 00:19:00,865|INFO   |      dynamo.py|168|A, 179: put K594=I am pig594
2013-05-11 00:19:00,865|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29002: PutReq(K594=I am pig594)
2013-05-11 00:19:00,867|INFO   |      dynamo.py|228|A: store K594=I am pig594
2013-05-11 00:19:00,867|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29002: PutRsp(K594=I am pig594)
2013-05-11 00:19:00,869|INFO   |      dynamo.py|248|A: written 1 copies of K594=I am pig594 so done
2013-05-11 00:19:00,869|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29008: ClientPutRsp(K594=I am pig594)
2013-05-11 00:19:00,874|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29003: PutReq(K594=I am pig594)
2013-05-11 00:19:00,884|INFO   |      dynamo.py|228|A: store K595=I am pig595
2013-05-11 00:19:00,884|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29003: PutRsp(K595=I am pig595)
2013-05-11 00:19:00,910|INFO   |      dynamo.py|228|A: store K596=I am pig596
2013-05-11 00:19:00,910|INFO   |   framework.py| 56|Enqueue 127.0.0.1:29002->127.0.0.1:29003: PutRsp(K596=I am pig596)
2013-05-11 00:19:00,919|INFO   |      dynamo.py|228|A: store K597=I am pig597
